id,reviews,rating
21185448,36,89.0
21185909,28,97.0
21186749,41,93.0
21189177,26,99.0
21191264,36,93.0
21191546,95,92.0
21191862,13,94.0
21197268,11,98.0
21199473,22,87.0
21201777,173,98.0
21203987,144,98.0
21204708,22,96.0
21204890,154,98.0
21210250,14,94.0
21211369,55,99.0
21213047,11,74.0
21213095,74,100.0
21215073,24,98.0
21215200,105,95.0
21217451,31,96.0
21219651,69,98.0
21220573,14,89.0
21222809,37,96.0
21223569,51,100.0
21226783,34,99.0
21229168,29,96.0
21230082,127,96.0
21230280,24,93.0
21231068,47,97.0
21233255,10,82.0
21239728,96,97.0
21240760,10,98.0
21244390,176,82.0
21245112,34,100.0
21247455,15,99.0
21247657,88,99.0
21249676,48,95.0
21249716,49,100.0
21251623,107,96.0
21251832,70,97.0
21253486,29,98.0
21256268,68,99.0
21257726,51,96.0
21259596,39,98.0
21260624,38,93.0
21261549,10,100.0
21263008,17,98.0
21263120,33,97.0
21263728,48,100.0
21264131,120,94.0
21264686,100,97.0
21265189,108,95.0
21265363,16,98.0
21266334,150,96.0
21266810,25,98.0
21267975,78,96.0
21273425,138,98.0
21274308,13,97.0
21275837,44,97.0
21277145,79,97.0
21277719,28,92.0
21278102,17,100.0
21279140,16,100.0
21279888,29,85.0
21280280,41,95.0
21281051,20,90.0
21281604,15,99.0
21283357,58,98.0
21288895,37,96.0
21289522,73,95.0
21289615,46,96.0
21289640,22,86.0
21289989,16,98.0
21291783,175,97.0
21293326,48,98.0
21294449,97,98.0
21295942,18,99.0
21295951,22,99.0
21298222,214,96.0
21298453,50,97.0
21306457,112,88.0
21307403,64,97.0
21307577,88,97.0
21308590,63,86.0
21308702,118,99.0
21309659,21,98.0
21311003,32,99.0
21311240,65,98.0
21311288,42,91.0
21311520,13,80.0
21311781,125,98.0
21312749,120,95.0
21313582,123,97.0
21313640,60,97.0
21314338,30,83.0
21318405,21,98.0
21321503,51,86.0
21322208,145,99.0
21322272,10,98.0
21324360,34,99.0
21324522,48,92.0
21325259,92,94.0
21325362,100,94.0
21326923,23,99.0
21327397,14,93.0
21332370,15,95.0
21340451,31,83.0
21344179,10,92.0
21344762,22,96.0
21346376,15,99.0
21346661,99,94.0
21351641,81,96.0
21354525,129,95.0
21354840,14,97.0
21354913,102,99.0
21356244,204,87.0
21356378,15,97.0
21357424,36,99.0
21358406,36,98.0
21358930,18,90.0
21359078,14,98.0
21364301,27,99.0
21364703,42,95.0
21365714,121,92.0
21365786,41,88.0
21366188,339,99.0
21366268,92,99.0
21366948,39,98.0
21367482,40,98.0
21367648,33,97.0
21368441,61,99.0
21369060,39,96.0
