id,hood,zipcode,guests,sqft,price
250323,Manhattan,10013,2,,119
250536,Manhattan,10027,2,,125
250537,Manhattan,10027,6,1450.0,400
250801,Manhattan,10012,6,,850
251262,Brooklyn,11249,2,,129
251277,Manhattan,10024,1,,140
252607,Manhattan,10029,4,,200
252865,Brooklyn,11217,1,,67
253332,Brooklyn,11232,6,,96
253466,Brooklyn,11222,4,,199
253471,Brooklyn,11222,4,,199
253475,Brooklyn,11222,4,,199
253548,Brooklyn,11224,4,,89
253590,Manhattan,10025,2,,185
253623,Manhattan,10027,2,,81
253800,Brooklyn,11222,4,,199
253803,Brooklyn,11222,4,,199
253806,Brooklyn,11222,4,,199
253811,Brooklyn,11222,4,,199
253815,Brooklyn,11222,4,,199
253828,Brooklyn,11222,4,,349
253839,Brooklyn,11222,4,,249
253842,Brooklyn,11222,4,,299
253846,Brooklyn,11222,2,,179
254168,Brooklyn,11222,6,,599
254409,Brooklyn,11238,3,,110
255024,Brooklyn,11237,6,,220
255476,Brooklyn,11211,2,,89
255601,Brooklyn,11206,5,780.0,170
255637,Brooklyn,11238,1,150.0,65
255957,Manhattan,10002,4,,495
257097,Brooklyn,11216,2,,125
257568,Brooklyn,11207,2,,48
257787,Brooklyn,11211,2,,69
258397,Brooklyn,11215,4,,139
258686,Queens,11412,2,,75
258688,Manhattan,10011,3,,375
258690,Manhattan,10011,3,,195
258740,Manhattan,10030,2,,58
258838,Staten Island,10305,10,,250
258876,Staten Island,10305,2,,50
258930,Manhattan,10002,3,,130
259946,Staten Island,10305,6,700.0,125
260765,Manhattan,10075,2,,189
261194,Brooklyn,11216,6,1.0,130
261259,Manhattan,10014,2,,145
261344,Manhattan,10004,2,,68
261674,Manhattan,10011,2,,95
261781,Manhattan,10014,4,,375
262343,Manhattan,10002,2,,153
262405,Brooklyn,11203,2,,92
262478,Manhattan,10002,2,,80
262583,Manhattan,10014,4,,300
263005,Brooklyn,11205,4,,130
263190,Manhattan,10009,1,,35
263232,Manhattan,10030,4,,155
263473,Manhattan,10011,1,800.0,250
263502,Brooklyn,11249,2,,185
263776,Queens,11104,2,,73
263888,Manhattan,10025,2,800.0,125
265036,Brooklyn,11216,2,950.0,99
265064,Brooklyn,11207,2,,48
265145,Manhattan,10019,2,,200
265506,Manhattan,10022,6,,485
265831,Manhattan,10012,3,0.0,350
266146,Manhattan,10024,3,350.0,109
266155,Manhattan,10024,4,,167
266437,Manhattan,10011,5,,220
266449,Manhattan,10002,4,,210
266964,Manhattan,10011,2,,175
267435,Queens,11374,1,,55
267535,Bronx,10466,1,,50
267652,Brooklyn,11226,2,,60
267708,Manhattan,10029,2,,99
268362,Manhattan,10023,5,750.0,279
268392,Manhattan,10026,4,,130
268481,Brooklyn,11211,4,,290
268868,Manhattan,10001,4,,350
269283,Brooklyn,11213,2,,50
269404,Queens,11103,2,,119
269889,Queens,11101,2,,95
270139,Brooklyn,nan,2,,45
270231,Queens,11377,2,,85
270315,Brooklyn,11221,1,,40
270345,Manhattan,10003,4,,250
271083,Brooklyn,11225,6,,59
271128,Brooklyn,11216,1,,60
271130,Brooklyn,11216,1,,65
271279,Brooklyn,11222,2,,110
271694,Manhattan,10017,2,,125
272026,Manhattan,10040,2,,65
272044,Manhattan,10009,2,,299
272427,Brooklyn,11222,1,,60
272706,Brooklyn,11205,2,,100
272738,Brooklyn,11211,2,,60
273190,Manhattan,10014,12,2300.0,1300
274062,Manhattan,10026,2,,99
274329,Brooklyn,11385,4,,110
274376,Brooklyn,11238,3,650.0,135
274743,Manhattan,10028,1,,110
274995,Brooklyn,11225,2,,105
275976,Brooklyn,11221,5,800.0,165
276216,Brooklyn,11215,3,500.0,127
276317,Brooklyn,11238,5,,402
276994,Manhattan,10025,4,1100.0,90
277883,Brooklyn,11226,2,,75
278090,Manhattan,10029,2,,57
278145,Queens,11105,1,,30
278631,Manhattan,10014,2,,250
278876,Brooklyn,11225,2,,64
279857,Brooklyn,11216,16,,800
280315,Brooklyn,11213,3,,250
281521,Manhattan,10014,4,,200
281851,Manhattan,10027,2,,130
282443,Manhattan,10002,2,,90
282514,Brooklyn,11233,2,1200.0,97
282863,Brooklyn,11217,2,,91
282977,Brooklyn,11215,6,,125
283072,Brooklyn,11208,1,500.0,75
283090,Manhattan,10009,3,,170
283194,Manhattan,10011,4,,500
283550,Manhattan,10036,3,725.0,175
284208,Brooklyn,11215,2,,65
284855,Manhattan,10014,2,,240
285515,Manhattan,10012,2,500.0,299
286662,Brooklyn,11216,2,220.0,110
286838,Manhattan,10026,1,,75
287408,Manhattan,10036,2,,165
287417,Brooklyn,11233,16,,300
287421,Brooklyn,11231,4,,140
287845,Brooklyn,11231,4,,275
288726,Manhattan,10013,2,,109
288776,Manhattan,10013,2,,140
289020,Manhattan,10003,2,,179
289037,Brooklyn,11201,4,,189
289665,Manhattan,10014,3,400.0,450
289703,Manhattan,10012,2,,249
289958,Queens,11101,8,,65
289995,Brooklyn,11211,2,,250
